accuracy,precision,recall,f1,auc
0.9745,0.9704,0.9745,0.9700,0.9991
0.9744,0.9709,0.9744,0.9703,0.9991
0.9745,0.9701,0.9745,0.9700,0.9991
0.9743,0.9701,0.9743,0.9699,0.9991
0.9744,0.9706,0.9744,0.9698,0.9991
