accuracy,precision,recall,f1,auc
0.9564,0.9170,0.9564,0.9362,0.9906
0.9563,0.9169,0.9563,0.9361,0.9908
0.9563,0.9169,0.9563,0.9361,0.9906
0.9563,0.9169,0.9563,0.9361,0.9906
0.9563,0.9169,0.9563,0.9361,0.9906
