Model,accuracy,precision,recall,f1,auc,multi_acc,macro_f1,weighted_f1,binary_acc,binary_f1,binary_auc
HGB,0.9629,0.9792,0.9629,0.9693,0.9976,0.9629,0.4567,0.9693,0.9956,0.9978,0.9914
XGBoost,0.9194,0.9543,0.9194,0.9340,0.9874,0.9194,0.3566,0.9340,0.9917,0.9958,0.7364
LogReg,0.9527,0.9743,0.9527,0.9617,0.9916,0.9527,0.3306,0.9617,0.9957,0.9979,0.9870
