Model,Experiment,Preprocessing,MI,PCA,KMeansSMOTE,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_auc
HGB,Raw,Raw,No,No,No,0.1512,0.1064,0.1512,0.1070,0.4858
HGB,MI,MI,Yes,No,No,0.1550,0.1123,0.1550,0.1125,0.5004
HGB,MI+KMeansSMOTE,MI+KMeansSMOTE,Yes,No,Yes,0.1162,0.1149,0.1162,0.1131,0.5099
HGB,PCA,PCA,No,Yes,No,0.1537,0.1136,0.1537,0.1125,0.4748
HGB,PCA+KMeansSMOTE,PCA+KMeansSMOTE,No,Yes,Yes,0.0925,0.0950,0.0925,0.0919,0.4768
HGB,MI+PCA,MI+PCA,Yes,Yes,No,0.1313,0.0889,0.1313,0.0959,0.4875
HGB,MI+PCA+KMeansSMOTE,MI+PCA+KMeansSMOTE,Yes,Yes,Yes,0.1137,0.1310,0.1137,0.1181,0.5043
