accuracy,precision,recall,f1,auc
0.9015,0.8700,0.9015,0.8689,0.9850
0.9011,0.8697,0.9011,0.8683,0.9856
0.9007,0.8694,0.9007,0.8676,0.9860
0.9002,0.8690,0.9002,0.8669,0.9862
0.9004,0.8691,0.9004,0.8671,0.9859
