binary_acc,binary_f1,multi_acc,accuracy,macro_f1,weighted_f1,f1,precision,recall,auc,binary_auc,fold
0.7070,0.8268,0.1035,0.1035,0.1002,0.0999,0.0999,0.1161,0.1035,0.5169,0.4592,1
0.7676,0.8649,0.1270,0.1270,0.1186,0.1297,0.1297,0.1638,0.1270,0.5131,0.5153,2
0.6621,0.7893,0.1113,0.1113,0.1055,0.1108,0.1108,0.1260,0.1113,0.5135,0.5049,3
0.7617,0.8617,0.1055,0.1055,0.0939,0.1071,0.1071,0.1300,0.1055,0.5019,0.5151,4
0.7734,0.8700,0.0996,0.0996,0.0895,0.1008,0.1008,0.1339,0.0996,0.5264,0.5269,5
