accuracy,precision,recall,f1,auc
0.0750,0.1361,0.0750,0.0766,0.4911
0.0875,0.0810,0.0875,0.0737,0.4909
0.0750,0.0996,0.0750,0.0782,0.4922
0.0563,0.1023,0.0563,0.0577,0.4625
0.1062,0.1166,0.1062,0.1030,0.5125
