feature_name,rho,abs_rho,rank
ct_state_ttl,-0.8410110230337684,0.8410110230337684,1
sttl,-0.6828164497886134,0.6828164497886134,2
ct_dst_sport_ltm,-0.47579574911663447,0.47579574911663447,3
state,-0.44678001833992004,0.44678001833992004,4
dload,0.44289266762438295,0.44289266762438295,5
dttl,0.4076136175471832,0.4076136175471832,6
ct_src_dport_ltm,-0.4061474365539377,0.4061474365539377,7
dmeansz,0.40428685193368685,0.40428685193368685,8
dbytes,0.3942670977800463,0.3942670977800463,9
dpkts,0.39133316478263586,0.39133316478263586,10
sbytes,0.38710245359884143,0.38710245359884143,11
ct_dst_src_ltm,-0.3592346390815619,0.3592346390815619,12
dintpkt,0.3162588590156334,0.3162588590156334,13
spkts,0.3092073734939606,0.3092073734939606,14
dur,0.30031217235762353,0.30031217235762353,15
swin,0.29720991390510276,0.29720991390510276,16
dwin,0.2961341520073432,0.2961341520073432,17
dsport,0.29226583209705914,0.29226583209705914,18
dloss,0.29141716343030566,0.29141716343030566,19
sloss,0.2836622582446814,0.2836622582446814,20
sload,-0.282102502377683,0.282102502377683,21
ct_srv_src,-0.2773480891952372,0.2773480891952372,22
ct_srv_dst,-0.27530131634916943,0.27530131634916943,23
dtcpb,0.26209753084811227,0.26209753084811227,24
stcpb,0.26192822100814683,0.26192822100814683,25
djit,0.260944277934862,0.260944277934862,26
smeansz,0.2597212953194604,0.2597212953194604,27
sintpkt,0.2511068424261413,0.2511068424261413,28
proto,-0.24306213559730633,0.24306213559730633,29
ct_src_ltm,-0.2427713954486174,0.2427713954486174,30
sjit,0.22829784367906417,0.22829784367906417,31
ct_dst_ltm,-0.22757032579012146,0.22757032579012146,32
synack,0.20677152867836512,0.20677152867836512,33
tcprtt,0.20672660014564914,0.20672660014564914,34
ackdat,0.20660732727716133,0.20660732727716133,35
sport,0.16450202420739268,0.16450202420739268,36
service,-0.11376417009033434,0.11376417009033434,37
res_bdy_len,0.052270792718193834,0.052270792718193834,38
ct_flw_http_mthd,0.03799857804200878,0.03799857804200878,39
trans_depth,0.03799412237210626,0.03799412237210626,40
ct_ftp_cmd,0.02633325445316679,0.02633325445316679,41
is_ftp_login,0.026237696436254333,0.026237696436254333,42
is_sm_ips_ports,0.013922121932098274,0.013922121932098274,43
