accuracy,precision,recall,f1,auc
0.9773,0.9756,0.9773,0.9731,0.9993
0.9773,0.9751,0.9773,0.9733,0.9992
0.9770,0.9739,0.9770,0.9734,0.9993
0.9772,0.9748,0.9772,0.9741,0.9993
0.9772,0.9749,0.9772,0.9732,0.9993
