Model,Experiment,Preprocessing,MI,PCA,KMeansSMOTE,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_auc
LogReg,Raw,Raw,No,No,No,0.1362,0.1183,0.1362,0.1219,0.4833
LogReg,MI,MI,Yes,No,No,0.1587,0.1026,0.1587,0.1067,0.4928
LogReg,MI+KMeansSMOTE,MI+KMeansSMOTE,Yes,No,Yes,0.0975,0.1213,0.0975,0.0944,0.4850
LogReg,PCA,PCA,No,Yes,No,0.1287,0.1129,0.1287,0.1148,0.4819
LogReg,PCA+KMeansSMOTE,PCA+KMeansSMOTE,No,Yes,Yes,0.0950,0.0950,0.0950,0.0889,0.4850
LogReg,MI+PCA,MI+PCA,Yes,Yes,No,0.1425,0.1106,0.1425,0.1000,0.4786
LogReg,MI+PCA+KMeansSMOTE,MI+PCA+KMeansSMOTE,Yes,Yes,Yes,0.0800,0.1071,0.0800,0.0778,0.4898
