binary_acc,binary_f1,multi_acc,accuracy,macro_f1,weighted_f1,f1,precision,recall,auc,binary_auc,fold
0.3379,0.3592,0.1797,0.1797,0.0505,0.0879,0.0879,0.0638,0.1797,0.4785,0.4351,1
0.3262,0.3527,0.1699,0.1699,0.0534,0.0887,0.0887,0.0772,0.1699,0.5065,0.4821,2
0.2363,0.1011,0.1973,0.1973,0.0394,0.0756,0.0756,0.0682,0.1973,0.5077,0.5008,3
0.3789,0.4342,0.1660,0.1660,0.0510,0.0866,0.0866,0.0691,0.1660,0.5156,0.5177,4
0.2480,0.1463,0.1934,0.1934,0.0474,0.0829,0.0829,0.0906,0.1934,0.5190,0.5214,5
