Model,Experiment,Preprocessing,MI,PCA,KMeansSMOTE,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_auc
DNN,Raw,Raw,No,No,No,0.9642,0.9827,0.9642,0.9708,0.9991
DNN,MI,MI,Yes,No,No,0.9611,0.9827,0.9611,0.9689,0.9989
DNN,MI+KMeansSMOTE,MI+KMeansSMOTE,Yes,No,Yes,0.9651,0.9813,0.9651,0.9713,0.9990
DNN,PCA,PCA,No,Yes,No,0.9612,0.9816,0.9612,0.9687,0.9989
DNN,PCA+KMeansSMOTE,PCA+KMeansSMOTE,No,Yes,Yes,0.9660,0.9821,0.9660,0.9721,0.9989
DNN,MI+PCA,MI+PCA,Yes,Yes,No,0.9597,0.9804,0.9597,0.9676,0.9987
DNN,MI+PCA+KMeansSMOTE,MI+PCA+KMeansSMOTE,Yes,Yes,Yes,0.9629,0.9786,0.9629,0.9691,0.9986
