accuracy,precision,recall,f1,auc
0.8546,0.9372,0.8546,0.8886,0.9692
0.8559,0.9340,0.8559,0.8884,0.9723
0.8552,0.9342,0.8552,0.8880,0.9742
0.8470,0.9357,0.8470,0.8840,0.9737
0.8475,0.9380,0.8475,0.8854,0.9709
