accuracy,precision,recall,f1,auc
0.9645,0.9804,0.9645,0.9706,0.9977
0.9645,0.9803,0.9645,0.9706,0.9974
0.9669,0.9800,0.9669,0.9719,0.9978
0.9638,0.9800,0.9638,0.9700,0.9976
0.9646,0.9803,0.9646,0.9707,0.9976
