accuracy,precision,recall,f1,auc
0.9565,0.9382,0.9565,0.9390,0.9984
0.9559,0.9378,0.9559,0.9379,0.9984
0.9569,0.9373,0.9569,0.9392,0.9985
0.9564,0.9388,0.9564,0.9388,0.9985
0.9562,0.9386,0.9562,0.9385,0.9985
