binary_acc,binary_f1,multi_acc,accuracy,macro_f1,weighted_f1,f1,precision,recall,auc,binary_auc,fold
0.7539,0.8562,0.1230,0.1230,0.1026,0.1108,0.1108,0.1334,0.1230,0.4980,0.5194,1
0.7910,0.8828,0.1113,0.1113,0.0919,0.0792,0.0792,0.1682,0.1113,0.5210,0.5334,2
0.6875,0.8068,0.0840,0.0840,0.0699,0.0837,0.0837,0.0942,0.0840,0.5023,0.5365,3
0.7812,0.8756,0.0957,0.0957,0.0858,0.0901,0.0901,0.1366,0.0957,0.4787,0.4991,4
0.7578,0.8545,0.1230,0.1230,0.1058,0.1229,0.1229,0.1461,0.1230,0.5252,0.5966,5
