accuracy,precision,recall,f1,auc
0.1625,0.0967,0.1625,0.1029,0.4639
0.1062,0.0534,0.1062,0.0640,0.4954
0.1625,0.1234,0.1625,0.1182,0.4988
0.2000,0.1260,0.2000,0.1324,0.4892
0.1625,0.1136,0.1625,0.1162,0.5165
