binary_acc,binary_f1,multi_acc,accuracy,macro_f1,weighted_f1,f1,precision,recall,auc,binary_auc,fold
0.6602,0.7830,0.1426,0.1426,0.1225,0.1413,0.1413,0.1413,0.1426,0.5069,0.4890,1
0.6797,0.8015,0.1289,0.1289,0.1117,0.1259,0.1259,0.1281,0.1289,0.5005,0.4834,2
0.6621,0.7856,0.1309,0.1309,0.1100,0.1273,0.1273,0.1271,0.1309,0.5008,0.4390,3
0.7148,0.8274,0.1055,0.1055,0.0984,0.1073,0.1073,0.1148,0.1055,0.4946,0.5484,4
0.6836,0.8005,0.1152,0.1152,0.0909,0.1138,0.1138,0.1134,0.1152,0.5089,0.5132,5
