binary_acc,binary_f1,multi_acc,accuracy,macro_f1,weighted_f1,f1,precision,recall,auc,binary_auc,fold
0.3750,0.4326,0.1582,0.1582,0.0579,0.0908,0.0908,0.0882,0.1582,0.5170,0.4902,1
0.4160,0.4871,0.1934,0.1934,0.0975,0.1351,0.1351,0.1410,0.1934,0.5172,0.5200,2
0.3418,0.3724,0.1836,0.1836,0.0735,0.1094,0.1094,0.1557,0.1836,0.5112,0.4869,3
0.4004,0.4642,0.1816,0.1816,0.0791,0.1146,0.1146,0.1600,0.1816,0.5253,0.5435,4
0.3359,0.3750,0.1660,0.1660,0.0610,0.0951,0.0951,0.0919,0.1660,0.5176,0.4848,5
