Model,accuracy,precision,recall,f1,auc,multi_acc,macro_f1,weighted_f1,binary_acc,binary_f1,binary_auc
HGB,0.9791,0.9779,0.9791,0.9768,0.9994,0.9791,0.5510,0.9768,0.9990,0.9995,0.9942
XGBoost,0.9567,0.9374,0.9567,0.9391,0.9984,0.9567,0.2544,0.9391,0.9989,0.9995,0.9901
LogReg,0.9743,0.9714,0.9743,0.9715,0.9989,0.9743,0.3919,0.9715,0.9990,0.9995,0.9916
