binary_acc,binary_f1,multi_acc,accuracy,macro_f1,weighted_f1,f1,precision,recall,auc,binary_auc,fold
0.7852,0.8796,0.0977,0.0977,0.0940,0.0844,0.0844,0.0880,0.0977,0.5124,0.4798,1
0.7930,0.8843,0.0859,0.0859,0.0814,0.0754,0.0754,0.1548,0.0859,0.4949,0.4715,2
0.7930,0.8843,0.1055,0.1055,0.0993,0.0894,0.0894,0.1658,0.1055,0.5310,0.4778,3
0.7793,0.8751,0.0977,0.0977,0.0985,0.0960,0.0960,0.1264,0.0977,0.4926,0.5065,4
0.7812,0.8753,0.1074,0.1074,0.0964,0.0981,0.0981,0.1352,0.1074,0.5219,0.5025,5
