accuracy,precision,recall,f1,auc
0.9435,0.9109,0.9435,0.9233,0.9962
0.9440,0.9113,0.9440,0.9238,0.9962
0.9426,0.9048,0.9426,0.9220,0.9962
0.9435,0.9055,0.9435,0.9230,0.9962
0.9439,0.9113,0.9439,0.9237,0.9962
