Model,accuracy,precision,recall,f1,auc
HGB,0.9630,0.9794,0.9630,0.9694,0.9976
XGBoost,0.9087,0.9511,0.9087,0.9255,0.9823
LogReg,0.9528,0.9744,0.9528,0.9617,0.9916
