Model,Experiment,Preprocessing,MI,PCA,KMeansSMOTE,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_auc
BiLSTM,Raw,Raw,No,No,No,0.1074,0.1357,0.1074,0.0973,0.5050
BiLSTM,MI,MI,Yes,No,No,0.1074,0.1218,0.1074,0.0953,0.5224
BiLSTM,MI+KMeansSMOTE,MI+KMeansSMOTE,Yes,No,Yes,0.0895,0.0850,0.0895,0.0760,0.5082
BiLSTM,PCA,PCA,No,Yes,No,0.1008,0.1403,0.1008,0.0981,0.5097
BiLSTM,PCA+KMeansSMOTE,PCA+KMeansSMOTE,No,Yes,Yes,0.0953,0.1193,0.0953,0.0924,0.5092
BiLSTM,MI+PCA,MI+PCA,Yes,Yes,No,0.1098,0.1352,0.1098,0.1023,0.5187
BiLSTM,MI+PCA+KMeansSMOTE,MI+PCA+KMeansSMOTE,Yes,Yes,Yes,0.0988,0.1340,0.0988,0.0887,0.5106
