accuracy,precision,recall,f1,auc
0.1812,0.1624,0.1812,0.1379,0.5121
0.1688,0.1068,0.1688,0.1185,0.4786
0.1062,0.0587,0.1062,0.0693,0.4575
0.1250,0.0663,0.1250,0.0799,0.4592
0.1750,0.1377,0.1750,0.1295,0.5214
