accuracy,precision,recall,f1,auc
0.9551,0.9541,0.9551,0.9537,0.9956
0.9555,0.9544,0.9555,0.9539,0.9958
0.9554,0.9544,0.9554,0.9539,0.9958
0.9552,0.9545,0.9552,0.9538,0.9957
0.9551,0.9542,0.9551,0.9537,0.9958
