binary_acc,binary_f1,multi_acc,macro_f1,weighted_f1,precision,recall,auc,fold
0.9853,0.9449,0.9651,0.4838,0.9717,0.9820,0.9651,0.9992,1
0.9871,0.9515,0.9661,0.4748,0.9721,0.9827,0.9661,0.9993,2
0.9857,0.9463,0.9648,0.4782,0.9713,0.9825,0.9648,0.9993,3
0.9858,0.9469,0.9643,0.4700,0.9712,0.9830,0.9643,0.9992,4
0.9875,0.9529,0.9662,0.4723,0.9720,0.9828,0.9662,0.9993,5
