accuracy,precision,recall,f1,auc
0.9613,0.9796,0.9613,0.9684,0.9971
0.9654,0.9806,0.9654,0.9713,0.9972
0.9625,0.9814,0.9625,0.9691,0.9972
0.9605,0.9799,0.9605,0.9683,0.9972
0.9614,0.9803,0.9614,0.9689,0.9972
