binary_acc,binary_f1,multi_acc,accuracy,macro_f1,weighted_f1,f1,precision,recall,auc,binary_auc,fold
0.9847,0.9427,0.9625,0.9625,0.4334,0.9689,0.9689,0.9782,0.9625,0.9987,0.9990,1
0.9841,0.9407,0.9615,0.9615,0.4365,0.9681,0.9681,0.9781,0.9615,0.9985,0.9987,2
0.9843,0.9413,0.9659,0.9659,0.4848,0.9712,0.9712,0.9791,0.9659,0.9986,0.9988,3
0.9837,0.9392,0.9620,0.9620,0.4434,0.9685,0.9685,0.9787,0.9620,0.9985,0.9987,4
0.9848,0.9434,0.9626,0.9626,0.4490,0.9686,0.9686,0.9787,0.9626,0.9988,0.9990,5
