accuracy,precision,recall,f1,auc
0.1062,0.0113,0.1062,0.0204,0.5000
0.0938,0.0088,0.0938,0.0161,0.5000
0.1000,0.0100,0.1000,0.0182,0.5000
0.1250,0.0156,0.1250,0.0278,0.5000
0.1000,0.0100,0.1000,0.0182,0.5000
