accuracy,precision,recall,f1,auc
0.9685,0.9636,0.9685,0.9655,0.9976
0.9696,0.9658,0.9696,0.9663,0.9979
0.9687,0.9639,0.9687,0.9658,0.9977
0.9685,0.9642,0.9685,0.9656,0.9977
0.9687,0.9637,0.9687,0.9656,0.9977
