Model,accuracy,precision,recall,f1,auc,multi_acc,macro_f1,weighted_f1,binary_acc,binary_f1,binary_auc
HGB,0.1100,0.1136,0.1100,0.1110,0.4753,0.1100,0.0834,0.1110,0.8250,0.9030,0.5217
XGBoost,0.1100,0.0121,0.1100,0.0218,0.5000,0.1100,0.0198,0.0218,0.9050,0.9501,0.5000
LogReg,0.0700,0.1092,0.0700,0.0758,0.5323,0.0700,0.0618,0.0758,0.8700,0.9305,0.4565
