binary_acc,binary_f1,multi_acc,accuracy,macro_f1,weighted_f1,f1,precision,recall,auc,binary_auc,fold
0.2051,0.0000,0.2051,0.2051,0.0340,0.0698,0.0698,0.0421,0.2051,0.5220,0.5524,1
0.2051,0.0000,0.2051,0.2051,0.0340,0.0698,0.0698,0.0421,0.2051,0.4969,0.5094,2
0.2090,0.0098,0.2070,0.2070,0.0372,0.0738,0.0738,0.1047,0.2070,0.5138,0.5630,3
0.2031,0.0000,0.2031,0.2031,0.0338,0.0686,0.0686,0.0413,0.2031,0.4961,0.4903,4
0.2031,0.0000,0.2031,0.2031,0.0338,0.0686,0.0686,0.0413,0.2031,0.5270,0.5695,5
