binary_acc,binary_f1,multi_acc,accuracy,macro_f1,weighted_f1,f1,precision,recall,auc,binary_auc,fold
0.6973,0.8157,0.1152,0.1152,0.0960,0.1031,0.1031,0.1507,0.1152,0.5281,0.4902,1
0.7520,0.8545,0.1016,0.1016,0.0866,0.0974,0.0974,0.1384,0.1016,0.4943,0.4999,2
0.7949,0.8857,0.1152,0.1152,0.1108,0.0966,0.0966,0.1039,0.1152,0.5305,0.5096,3
0.7266,0.8349,0.1055,0.1055,0.0870,0.1056,0.1056,0.1163,0.1055,0.5114,0.5543,4
0.7500,0.8542,0.1113,0.1113,0.1006,0.1090,0.1090,0.1666,0.1113,0.5290,0.5323,5
