accuracy,precision,recall,f1,auc
0.1000,0.1391,0.1000,0.1013,0.4564
0.1062,0.0847,0.1062,0.0901,0.5165
0.0875,0.0921,0.0875,0.0828,0.4718
0.0875,0.1535,0.0875,0.0979,0.4871
0.1062,0.1371,0.1062,0.0998,0.4934
