binary_acc,binary_f1,multi_acc,macro_f1,weighted_f1,precision,recall,auc,fold
0.9853,0.9449,0.9646,0.4685,0.9709,0.9825,0.9646,0.9993,1
0.9869,0.9506,0.9662,0.4827,0.9721,0.9827,0.9662,0.9993,2
0.9847,0.9430,0.9633,0.4652,0.9699,0.9822,0.9633,0.9992,3
0.9847,0.9429,0.9636,0.4931,0.9707,0.9828,0.9636,0.9993,4
0.9862,0.9481,0.9654,0.4766,0.9714,0.9818,0.9654,0.9993,5
