binary_acc,binary_f1,multi_acc,accuracy,macro_f1,weighted_f1,f1,precision,recall,auc,binary_auc,fold
0.7832,0.8771,0.0977,0.0977,0.0945,0.0966,0.0966,0.1784,0.0977,0.5006,0.5096,1
0.7695,0.8671,0.0996,0.0996,0.0984,0.1015,0.1015,0.1347,0.0996,0.5132,0.4856,2
0.7383,0.8463,0.0957,0.0957,0.0875,0.0934,0.0934,0.1120,0.0957,0.5055,0.4992,3
0.7676,0.8679,0.0918,0.0918,0.0870,0.0867,0.0867,0.1129,0.0918,0.5082,0.5329,4
0.7715,0.8675,0.1191,0.1191,0.1007,0.1122,0.1122,0.1636,0.1191,0.5211,0.5580,5
