accuracy,precision,recall,f1,auc
0.9742,0.9711,0.9742,0.9713,0.9989
0.9747,0.9716,0.9747,0.9717,0.9990
0.9744,0.9711,0.9744,0.9716,0.9990
0.9741,0.9709,0.9741,0.9712,0.9990
0.9740,0.9709,0.9740,0.9711,0.9990
