binary_acc,binary_f1,multi_acc,accuracy,macro_f1,weighted_f1,f1,precision,recall,auc,binary_auc,fold
0.9850,0.9439,0.9583,0.9583,0.4289,0.9677,0.9677,0.9829,0.9583,0.9987,0.9990,1
0.9837,0.9395,0.9594,0.9594,0.4287,0.9679,0.9679,0.9826,0.9594,0.9989,0.9992,2
0.9843,0.9415,0.9652,0.9652,0.4922,0.9711,0.9711,0.9829,0.9652,0.9990,0.9992,3
0.9844,0.9417,0.9614,0.9614,0.4413,0.9687,0.9687,0.9824,0.9614,0.9990,0.9992,4
0.9849,0.9435,0.9614,0.9614,0.4368,0.9689,0.9689,0.9825,0.9614,0.9988,0.9990,5
