experiment,model,final_dimension,multiclass_accuracy,macro_f1,weighted_f1,macro_recall,binary_accuracy,binary_precision,binary_recall,binary_f1,binary_auc,feature_preprocessing_seconds,balancing_seconds,training_seconds,model_load_seconds,cold_start_prediction_ms,single_sample_mean_ms,single_sample_median_ms,single_sample_p95_ms,warm_inference_ms_per_sample,throughput_samples_per_second,model_size_mb
E3_spearman,HGB,4,0.9392275742603492,0.27608472981598997,0.9541198894517586,0.4453340265019028,0.9825219975984725,0.8784699872635889,0.9999220576773188,0.9352696308932776,0.9972249116454077,32.722499200026505,7.244264099979773,2.5869405000121333,0.12298530002590269,18.184399988967925,9.553193001775071,8.593099977588281,16.897815008996986,0.006495330800533485,153956.74688621963,0.5477523803710938
E3_spearman,XGBoost,4,0.9379027971890317,0.24850534107623168,0.9513584940899993,0.3933030947105142,0.9819846066022322,0.8774846255216341,0.9964614185502728,0.9331961050526285,0.9975032086718586,43.13290202617645,5.148805886507034,0.5336112082004547,0.006667286157608032,1.7174184322357178,0.37820830941200256,0.35544484853744507,0.43453723192214955,0.0002703215425374604,3699298.215795816,0.25081634521484375
E2_parallel_mi_pca,HGB,30,0.9705399500009843,0.5494922426777927,0.9749090236098757,0.7231293690265382,0.9872187555363083,0.9081333616479083,0.999937646141855,0.951826983714805,0.9974253679519979,2083.5941315999953,143.03283069998724,6.40106319996994,0.10219750000396743,18.379900022409856,12.899606003775261,11.741349997464567,19.373434991575774,0.0177758874824687,56255.98164852474,0.8445110321044922
E2_parallel_mi_pca,LogReg,30,0.9635833940276766,0.47399802223290877,0.9695228395669295,0.6550115904936199,0.9844806204602271,0.8907578198788821,0.9997038191738113,0.9420915781587413,0.9961691401433728,2729.697270600009,8.274535999982618,21.308235900010914,0.009086999983992428,0.31670002499595284,0.20907300000544637,0.12414998491294682,0.539184996159747,0.00012002421215725685,8331652.272708031,0.0020589828491210938
E2_parallel_mi_pca,XGBoost,30,0.9595815043010965,0.4708187518828539,0.9679968943769912,0.6662095615539599,0.9792130076179603,0.8600704149645237,0.9977084957131722,0.923790828919071,0.9969126816299677,1017.9201217442751,8.76115195453167,1.240752398967743,0.005684807896614075,1.8151849508285522,0.5964933335781097,0.5196854472160339,0.6572790443897247,0.0003216553550050854,3108917.6176911155,0.31656360626220703
E1_sequential_mi_pca,HGB,7,0.9654849313989882,0.4960775541145586,0.9706825562826441,0.6274046445869563,0.9837050451762761,0.8857391400403193,0.9999532346063913,0.9393872828983979,0.9970479450645175,1651.1816475000232,7.048767900036182,3.8106974000111222,0.07623750000493601,22.728800016921014,13.610548002179712,14.182300015818328,20.952290025888942,0.009357572685613406,106865.32005649585,0.8341903686523438
E1_sequential_mi_pca,LogReg,7,0.9574220979901971,0.41456876333257914,0.9641221600728176,0.5671019266894944,0.9809098246097517,0.869336372022356,0.9989711613406079,0.9296563329609911,0.9897941213408805,1541.5034002999892,6.576113999995869,11.64715299999807,0.005795500008389354,2.816599968355149,0.19418499781750143,0.11665001511573792,0.5918050213949755,0.00010945296350007337,9136344.672835924,0.0011892318725585938
E1_sequential_mi_pca,XGBoost,7,0.938991358437826,0.37045809965246357,0.9509378918482594,0.5039914987333401,0.9665282179484656,0.7939936644134594,0.9924240062353858,0.882188288113516,0.9854361821200178,1070.3086410164833,8.64019724726677,1.449997454881668,0.005075246095657349,1.340225338935852,1.1935748159885406,0.43066591024398804,2.7424164116382594,0.0005085148486759538,1966510.9142904114,0.3204460144042969
