accuracy,precision,recall,f1,auc
0.7981,0.9628,0.7981,0.8674,0.9836
0.8388,0.9649,0.8388,0.8932,0.9870
0.7851,0.9632,0.7851,0.8594,0.9868
0.8324,0.9631,0.8324,0.8884,0.9863
0.7868,0.9638,0.7868,0.8610,0.9827
