accuracy,precision,recall,f1,auc
0.8736,0.9401,0.8736,0.8971,0.9836
0.8740,0.9386,0.8740,0.8960,0.9839
0.8726,0.9387,0.8726,0.8956,0.9834
0.8734,0.9395,0.8734,0.8961,0.9808
0.8734,0.9391,0.8734,0.8963,0.9835
