Model,accuracy,precision,recall,f1,auc,multi_acc,macro_f1,weighted_f1,binary_acc,binary_f1,binary_auc
HGB,0.9531,0.9724,0.9531,0.9621,0.9952,0.9531,0.3867,0.9621,0.9956,0.9978,0.9775
XGBoost,0.7866,0.9366,0.7866,0.8483,0.9394,0.7866,0.2515,0.8483,0.9929,0.9964,0.8670
LogReg,0.8593,0.9650,0.8593,0.9056,0.9888,0.8593,0.3011,0.9056,0.9890,0.9945,0.9517
