binary_acc,binary_f1,multi_acc,accuracy,macro_f1,weighted_f1,f1,precision,recall,auc,binary_auc,fold
0.5312,0.6460,0.1562,0.1562,0.0855,0.1204,0.1204,0.1096,0.1562,0.5089,0.5508,1
0.4941,0.6058,0.1562,0.1562,0.0768,0.1117,0.1117,0.1002,0.1562,0.5175,0.5224,2
0.4648,0.5732,0.1504,0.1504,0.0715,0.1048,0.1048,0.0926,0.1504,0.4970,0.4937,3
0.5469,0.6628,0.1641,0.1641,0.0910,0.1267,0.1267,0.1189,0.1641,0.5058,0.5191,4
0.4883,0.5957,0.1543,0.1543,0.0717,0.1066,0.1066,0.0912,0.1543,0.5256,0.5273,5
