binary_acc,binary_f1,multi_acc,macro_f1,weighted_f1,precision,recall,auc,fold
0.9850,0.9438,0.9666,0.4974,0.9724,0.9826,0.9666,0.0000,1
0.9850,0.9440,0.9664,0.4870,0.9720,0.9825,0.9664,0.0000,2
0.9840,0.9405,0.9610,0.4488,0.9688,0.9829,0.9610,0.0000,3
0.9857,0.9465,0.9669,0.4926,0.9724,0.9832,0.9669,0.0000,4
0.9854,0.9455,0.9660,0.4816,0.9721,0.9826,0.9660,0.0000,5
