binary_acc,binary_f1,multi_acc,accuracy,macro_f1,weighted_f1,f1,precision,recall,auc,binary_auc,fold
0.7305,0.8388,0.1152,0.1152,0.1071,0.1157,0.1157,0.1461,0.1152,0.5081,0.5443,1
0.7715,0.8681,0.0879,0.0879,0.0828,0.0905,0.0905,0.1301,0.0879,0.4899,0.5325,2
0.7617,0.8635,0.0879,0.0879,0.0906,0.0873,0.0873,0.1184,0.0879,0.5104,0.4674,3
0.7773,0.8722,0.0918,0.0918,0.0787,0.0914,0.0914,0.1351,0.0918,0.4955,0.5416,4
0.7363,0.8450,0.1055,0.1055,0.0888,0.1005,0.1005,0.1085,0.1055,0.5063,0.5199,5
