Model,accuracy,precision,recall,f1,auc,multi_acc,macro_f1,weighted_f1,binary_acc,binary_f1,binary_auc
HGB,0.9774,0.9749,0.9774,0.9743,0.9993,0.9774,0.4618,0.9743,0.9990,0.9995,0.9932
XGBoost,0.9423,0.9099,0.9423,0.9230,0.9955,0.9423,0.2234,0.9230,0.9989,0.9995,0.9847
LogReg,0.9551,0.9543,0.9551,0.9537,0.9958,0.9551,0.3077,0.9537,0.9989,0.9995,0.9803
