binary_acc,binary_f1,multi_acc,macro_f1,weighted_f1,precision,recall,auc,fold
0.9859,0.9471,0.9657,0.4791,0.9723,0.9822,0.9657,0.9991,1
0.9861,0.9480,0.9652,0.4770,0.9718,0.9827,0.9652,0.9989,2
0.9852,0.9446,0.9639,0.4598,0.9703,0.9811,0.9639,0.9990,3
0.9853,0.9449,0.9632,0.4707,0.9701,0.9827,0.9632,0.9989,4
0.9862,0.9483,0.9664,0.4977,0.9726,0.9819,0.9664,0.9991,5
