Model,accuracy,precision,recall,f1,auc,multi_acc,macro_f1,weighted_f1,binary_acc,binary_f1,binary_auc
HGB,0.9744,0.9711,0.9744,0.9702,0.9991,0.9744,0.4201,0.9702,0.9989,0.9995,0.9932
XGBoost,0.9120,0.8786,0.9120,0.8845,0.9939,0.9120,0.1573,0.8845,0.9989,0.9995,0.9790
LogReg,0.9687,0.9641,0.9687,0.9658,0.9977,0.9687,0.3630,0.9658,0.9989,0.9995,0.9886
