accuracy,precision,recall,f1,auc
0.9780,0.9765,0.9780,0.9740,0.9994
0.9782,0.9772,0.9782,0.9743,0.9994
0.9783,0.9767,0.9783,0.9745,0.9994
0.9782,0.9764,0.9782,0.9743,0.9994
0.9781,0.9771,0.9781,0.9741,0.9994
