binary_acc,binary_f1,multi_acc,accuracy,macro_f1,weighted_f1,f1,precision,recall,auc,binary_auc,fold
0.5098,0.6180,0.1602,0.1602,0.0758,0.1107,0.1107,0.0944,0.1602,0.5196,0.5344,1
0.4902,0.6015,0.1660,0.1660,0.0893,0.1240,0.1240,0.1231,0.1660,0.5168,0.5099,2
0.5195,0.6339,0.1523,0.1523,0.0676,0.1031,0.1031,0.0908,0.1523,0.5181,0.5178,3
0.5059,0.6102,0.1660,0.1660,0.0771,0.1145,0.1145,0.1407,0.1660,0.5162,0.5426,4
0.4531,0.5527,0.1836,0.1836,0.1047,0.1399,0.1399,0.1546,0.1836,0.5283,0.5220,5
